object_name,galactic_l_deg,galactic_b_deg,distance_to_sun_Lj,object_type
M1,184.554649,-5.783342,6500,GN
M2,53.370873,-35.769762,37500,KS
M3,42.216958,+78.706851,34000,KS
M4,350.972926,+15.972182,7200,KS
M5,3.858724,+46.796368,24500,KS
M6,356.583446,-0.76042,1600,OS
M7,355.812926,-4.513531,1000,OS
M8,5.957512,-1.16668,4300,GN
M9,5.544422,+10.705141,25800,KS
M10,15.137055,+23.075979,14000,KS
M11,27.303057,-2.772606,5000,OS
M12,15.715197,+26.313278,16000,KS
M13,59.009471,+40.911762,22000,KS
M14,21.323855,+14.804434,30000,KS
M15,65.01263,-27.312626,33600,KS
M16,16.961448,+0.810574,7000,GN
M17,15.095244,-0.74536,5000,GN
M18,14.192699,-1.003,4800,OS
M19,356.868643,+9.382675,28000,KS
M20,7.085887,-0.287324,5200,GN
M21,7.655988,-0.347516,4000,OS
M22,9.892256,-7.551641,10000,KS
M23,9.877856,+2.857525,2150,OS
M24,12.549939,-1.032906,10000,GN
M25,13.700942,-4.424975,2000,OS
M26,23.872643,-2.907749,5000,OS
M27,60.8361408924044,-3.6962713631712,2300,PN
M28,7.79821,-5.58068,18000,KS
M29,76.867631,+0.609817,4000,OS
M30,27.17915,-46.83551,28000,KS
M34,143.682649,-15.64597,1500,OS
M35,186.609319,+2.23003,2800,OS
M36,174.542721,+1.075588,4100,OS
M37,177.64216,+3.08641,4500,OS
M38,172.269938,+0.681867,3500,OS
M39,92.24586,-2.350656,1100,OS
M40,130.354294,+58.621588,1200,OS
M41,230.980022,-10.431645,2300,OS
M42,209.009474,-19.381776,1344,GN
M43,208.926553,-19.276108,1344,GN
M44,205.952501,+32.42781,570,OS
M45,166.462769,-23.614569,440,OS
M46,231.888849,+4.050509,5500,OS
M47,230.963637,+3.128464,1600,OS
M48,227.842044,+15.390208,1500,OS
M50,221.659975,-1.314845,3000,OS
M51,104.851585,+68.560702,27000000,GX
M52,112.815539,+0.432128,5000,OS
M53,332.962985,+79.764194,60000,KS
M54,5.607024,-14.087149,90000,KS
M55,8.792564,-23.271647,17000,KS
M56,62.659403,+8.336382,32900,KS
M57,63.1700861825471,+13.9780955028805,2300,PN
M62,353.57458,+7.31956,22500,KS
M63,105.9977353176866,+74.2875829276598,30000000,GX
M64,315.681974,+84.422965,17000000,GX
M67,215.6912,+31.9208,2700,OS
M68,299.62578,+36.05083,34000,KS
M69,1.72289,-10.26938,28000,KS
M70,2.85293,-12.50987,28000,KS
M71,56.74588,-04.56443,13000,OS
M72,35.16233,-32.68313,50000,KS
M73,35.724495,-33.953803,1500,OS
M74,138.6168076727335,-45.7052708002080,32000000,GX
M75,20.303075,-25.747962,67500,KS
M76,130.9335270448223,-10.5039545075556,2500,PN
M77,172.1037082138010,-51.9337915309647,47000000,GX
M78,205.328719,-14.31193,1600,GN
M79,227.22915,-29.35152,42000,KS
M80,352.67323,+19.46302,32600,KS
M92,68.33840,+34.85891,26000,KS
M93,240.0428,+0.1491,5500,OS
M97,148.4895345685390,+57.0499561582628,2000,PN
M101,102.036992,+59.771413,27000000,GX
M102,92.034020,+52.489061,40000000,GX
M103,128.0477,-1.7957,7200,OS
M104,298.46058621087,+51.14928244354,28000000,GX
M106,138.319686,+68.842396,25000000,GX
M107,3.37331,+23.01056,21000,KS
M108,148.314445,+56.251739,32000000,GX
M109,140.0915599634776,+61.9231420571752,82000000,GX
Proxima Centauri,313.9398620493784,-1.9271491330428,4.24,Star
Barnards Star,31.0087027177046,+14.0626510150033,5.958,Star
Wolf 359,244.0543969618636,+56.1197323657577,7.856,Star
Lalande21185,185.1184118680660,+65.4315738990821,8.304,Star
Gliese 65,175.487470608,-75.699408896,8.73,Star
UV Ceti,175.4885840357389,-75.6986707049320,8.73,Star
Ross 154,11.3071924699349,-10.2845404820555,9.706,Star
Ross 248,109.9908978693113,-16.9404142268422,10.306,Star
Epsilon Eridani,195.8446406895699,-48.0512999525119,10.5016,Star
Ross 128,270.1470898989605,+59.5591204198522,11.022,Star
EZ Aquarii,47.069636721,-56.979610304,11.089,Star
61 Cygni A,82.3197403091576,-5.8181041502094,11.4041,Star
61 Cygni B,82.3171310715589,-5.8262372280102,11.4037,Star
Epsilon Indi,336.1926307305795,-48.0448608239800,11.8669,Star
Tau Ceti,173.1006757445964,-73.4397246835404,11.912,Star
Gliese 725 A,89.2883561508051,+24.2307079948644,11.491,Star
Gliese 725 B,89.2846838768658,+24.2295380594028,11.491,Star
Groombridge 34,116.6769153816040,-18.4469471350724,11.619,Star
Lacaille 9352,5.1008135559570,-65.9570838521579,10.724,Star
G 51-15,197.0145898552318,+32.4208148424960,11.68,Star
YZ Ceti,149.7052567858707,-78.7596986819221,12.1219,Star
Beta Centauri,311.76696209,+1.25110442,390,Star
Beta Crucis,302.46225765,+3.17958611,279,Star
Alpha Crucis,300.126579,-0.362723,322,Star
Gliese 445,126.8472097362149,+37.9480684524301,17.6,Star
Sirius A,227.23029126,-8.89028121,8.58,Star
Sirius B,227.2316564388949,-8.8892179862002,8.58,Star
Canopus,261.21210208,-25.29220544,309,Star
Alpha Centauri A,315.73417134,-0.67965625,4.38,Star
Alpha Centauri B,315.73008383,-0.68171325,4.38,Star
Arktur,15.05005923,+69.11129459,36.7,Star
Wega,67.44820813,+19.23725227,25,Star
Capella,162.58847600,+04.56643053,42.4,Star
Rigel,209.24118506,-25.24534825,860,Star
Procyon A,213.70224138,+13.01939682,11.4,Star
Procyon B,213.7025875,+13.0181154,11.415,Star
Beteigeuze,199.78723619,-8.95860329,500,Star
Achernar,290.84124169,-58.79200969,139,Star
Hadar,311.76696209,+1.25110442,390,Star
Altair,47.74412569,-8.90918816,16.7,Star
Acrux,300.12657738,-0.36272479,322,Star
Aldebaran,180.97191142,-20.24829666,66.6,Star
Spika,316.11234750,+50.84455481,293.54,Star
Antares,351.94713737,+15.06432170,550,Star
Pollux,192.22928777,+23.40626890,33.8,Star
Fomalhaut,20.48814538,-64.90960178,25.1,Star
Becrux,302.46225765,+3.17958611,280,Star
Deneb,84.28473664,+1.99754611,1400,Star
Regulus,226.42735281,+48.93420887,77.49,Star
Adhara,239.83106158,-11.32975253,470,Star
Castor,187.44099817,+22.47926806,50.88,Star
Gacrux,300.16921089,+5.64975178,88.71,Star
Shaula,351.74436221,-2.21436679,600,Star
Bellatrix,196.92784561,-15.95320119,394.65,Star
Elnath,177.99440340,-3.74540398,134,Star
Miaplacidus,285.97840664,-14.40732174,113.2,Star
Alnilam,205.21207150,-17.24172893,1193.74,Star
Alnair,349.99848565,-52.47374323,101.4,Star
Alnitak,206.45218456,-16.58516461,800,Star
Gamma Velorum,262.80255563,-7.68581861,512,Star
Alioth,122.1800376477,+61.1646463243,82.6,Star
Mirfak,146.5686595353,-5.8624346530,506,Star
Kaus Australis,359.19382957,-9.80759182,143,Star
Dubhe,142.84873691,+51.00859152,124,Star
Wezen,238.4174676943,-8.2665547358,1600,Star
Alkaid,100.69557277,+65.32245640,103.9,Star
Avior,274.28550199,-12.60096644,600,Star
Sargas,347.13892434,-5.97573171,300,Star
Menkalinan,167.4568449838,+10.4094413246,81,Star
Atria,321.53579545,-15.25882552,391,Star
Alhena,196.77360346,+4.45259007,109.3,Star
Alsephina,272.078801838,-7.370899300,80.6,Star
Peacock,340.90432469,-35.19310697,183.3,Star
Polaris,123.28054967,+26.46139598,430,Star
Mirzam,226.0598500109,-14.2680464179,493,Star
Alphard,241.48814210,+29.04545375,180,Star
Hamal,144.57841271,-36.20553660,65.8,Star
Algieba,216.55164396,+54.65232991,126,Star
Diphda,111.33025660,-80.68107456,96.32,Star
Nunki,9.55591875,-12.43515675,224,Star
Menkent,319.45356814,+24.07603164,59,Star
Alpheratz,111.73222782,-32.84335675,97,Star
Saiph,214.5143407950,-18.4964667956,799,Star
Mirach,127.10758790,-27.10282071,197,Star
Kochab,112.64721269,+40.50263510,130.9,Star
Tiaki,346.26692105,-57.95405404,177,Star
Rasalhague,35.89375208,+22.56805441,47.88,Star
Algol,148.9765258648,-14.9002614291,89.9,Star
Alamak,136.96458468,-18.55901423,355,Star
Denebola,250.64029983,+70.79975490,36.17,Star
Tsih,123.5768760058,-2.1484067521,381.6,Star
Muhlifain,301.25480117,+13.87956809,130,Star
Naos,255.97588294,-4.70568514,1090,Star
Aspidiske,278.4591659533,-7.0111474382,800,Star
Turais,243.1483323537,+4.4018908197,63.46,Star
Alphecca,41.8697285287324,+53.7723287302845,77.21,Star
Suhail,265.93498772,+2.82111751,545,Star
Mizar,113.11050336,+61.57907304,82.9,Star
Sadr,78.1485910327,+1.8670884437,1800,Star
Schedir,121.4164062796607,-6.3022507244394,231.46,Star
Etamin,79.05496371,+29.21733609,154.3,Star
Mintaka,203.85592217,-17.73973400,1238,Star
Caph,117.52807600,-3.27785483,54.7,Star
Epsilon Centauri,310.19192260,+8.72102498,430,Star
Dschubba,350.09692827,+22.49042547,795.8,Star
Larawag,348.8110824040,+6.5609042258,63.71,Star
Alpha Lupi,321.6107054331,+11.4365560993,465,Star
Eta Centauri,322.7740041873,+16.6691349011,306,Star
Merak,149.1660892189601,+54.8040835486335,84.49,Star
Izar,39.3846648029817,+64.7841872961647,239.15,Star
Enif,65.5709840542,-31.4575356441,690,Star
Girtab,351.04374896,-4.71923931,480,Star
Ankaa,319.99977774,-73.97845492,65.39,Star
Phecda,140.8399133804,+61.3848823068,83.2,Star
Sabik,6.72144052,+14.00783433,88,Star
Scheat,95.74856001,-29.04492297,196,Star
Alderamin,100.99897698,+9.17192872,49.046,Star
Aludra,242.61653052,-6.48571702,2000,Star
Markeb,241.96613515,-2.43696230,570,Star
Aljanah,75.9513961851877,-05.7153408695330,75.5,Star
Markab,88.27979025,-40.38106260,133.3,Star
Menkar,173.31598286,-45.59569258,249,Star
Zeta Ophiuchi,6.2812427853698,+23.5877347593776,440,Star
Zeta Centauri,314.06874254,+14.19250098,382,Star
Zosma,224.22851480,+66.82752209,57.7,Star
Beta Scorpii,353.19292,+23.59967,466,Star
Arneb,220.9471264889,-25.1413515050,1940,Star
Delta Centauri,295.9963489130,+11.5682820311,531,Star
Gamma Corvi,290.98469665,+44.50166400,154,Star
UY Scuti,19.1435786202784,-0.4721395229379,5000,Star
Merkur,-143.8174444,35.81305556,0.000006130604837,Planet
Venus,-178.9982778,-13.50155556,0.000011415609007,Planet
Erde,0,0,0.000015855012510,Planet
Mond,0,0,0.000015814381398,Planet
Mars,-107.2986111,58.79597222,0.000024099619016,Planet
Jupiter,-169.2803056,7.306916667,0.000082234664887,Planet
Saturn,99.67702778,-62.46919444,0.000151468219516,Planet
Uranus,170.6290556,-25.74111111,0.000303570639532,Planet
Neptun,100.0286944,-61.48002778,0.000475121874894,Planet
Pluto,19.72875,-28.052194444444,0.000780172315594,Planet
Voyager 1,33.16780556,26.64194444,0.002618191065879,Satelite
Voyager 2,338.21725,-32.9475,0.0020083015846468,Satelite
Pioneer 10,178.75525,-7.140777778,0.001799015419510,Satelite
Pioneer 11,25.48147222,-5.152388889,0.002174250715589,Satelite
New Horizons,17.19788889,-14.38297222,0.000958699756460,Satelite
LANIAKEA,230.5999,+66.4223,100000000,SCG_LAN
Virgo Superhaufen,283.8,74.5,5400000,ClG_LAN
Lokale Gruppe,196.90362,+52.42248,1500000,GrG_LAN
Michstraßen Unterguppe,358.0361,+69.6423,100000,PaG_LAN
Small Magellanic Cloud,302.8084,-44.3277,200000,GX
Large Magellanic Cloud,280.4652,-32.8884,160000,GX
PisecsII,79.2063,-47.1058,593605,GX
Segue2,149.4329,-38.1352,114155,GX
Leo I,225.98565,+49.11249,828437,GX
Leo II,220.16432,+67.22912,759944,GX
Leo IV,265.4413,+56.5144,515327,GX
Leo V,261.86244,+58.53743,593605,GX
Leo T,214.8524,+43.6609,1337000,GX
Bootes I,358.0361,+69.6423,215263,GX
Bootes II,353.6940,+68.8709,136986,GX
Bootes III,35.3007,+75.3683,153293,GX
Leo III,196.90362,+52.42248,2577000,GX
NGC6822,25.342467,-18.391181,1539000,GX
PGC3589,287.5334,-83.1568,273971,GX
PGC10093,237.1038,-65.6515,479450,GX
UGC10822,86.374731,+34.717073,247879,GX
PGC19441,260.1124,-22.2235,342464,GX
PGC6830,272.1591,-68.9494,1435088,GX
PGC54074,104.9662,+44.8009,247879,GX
PGC88608,243.4981,+42.2721,296802,GX
Andromeda Untergruppe,121.174, -21.573, 2000000,PaG_LAN
M31,121.174329,-21.573309,2537000,GX
M110,120.7162794892624,-21.1386993067892,2700000,GX
M32,121.15001697,-21.97633363,2650000,GX
M33,133.6101946984090,-31.3306789592433,2700000,GX
And I,121.6793,-24.8166,2371000,GX
And II,128.9188,-29.1611,2055000,GX
And IV,106.0416,-36.3246,2642000,GX
And VII,109.4588,-9.9611,2609000,GX
NGC147,119.817409,-14.2527,2322000,GX
NGC185,120.7917570202389,-14.4824028566449,2022000,GX
IC10,118.97437,-3.34518,2590000,GX
LGS3,126.7625,-40.8939,2120000,GX
NGC 3109 Untergruppe,262.101645,+23.070174,4000000,PaG_LAN
NGC3109,262.101645,+23.070174,4272649,GX
SextansA,246.1460,+39.8754,4279172,GX
SextansB,233.1979692642361,+43.7883400147239,4692738,GX
Antlia Dwarf,263.0982,+22.3099,4370495,GX
Maffei-Gruppe,135.8619438310218,-0.5508348562901,12000000,GrG_LAN
Maffei 1,135.8619438310218,-0.5508348562901,13405027.12324,GX
IC 342,138.172582,+10.579855,10697929.18838,GX
Maffei 2,136.498542,-0.325657,11350241.94377,GX
NGC 1560,138.365917,+16.022224,9752075.693063,GX
NGC 1569,143.682288,+11.241803,10600082.27507,GX
Dwingeloo 1,138.5180841070409,-0.1114262635213,13502874.03655,GX
Dwingeloo 2,138.16362,-0.18902,11350241.94377,GX
Sculptor-Gruppe,97.363851,-87.964547,12000000,GrG_LAN
NGC 253,97.363851,-87.964547,11611167.04592,GX
NGC 55,332.882042,-75.730911,6490511.916119,GX
NGC 300,299.2091189795405,-79.4190682505258,6816668.293814,GX
NGC 247,113.947416,-83.557085,12067785.97469,GX
NGC 7793,4.5160169671647,-77.1711650556287,12067785.97469,GX
IC 5152,343.918955,-50.191909,6392665.002811,GX
NGC 625,273.677057,-73.121451,13111486.38332,GX
PGC 6430,273.07519,-70.28918,14905346.46064,GX
NGC 59,65.710732,-80.021856,15981662.50703,GX
PGC 72675,322.46856,-62.24061,22863562.07638,GX
IC 1574,101.19589,-84.76143,16046893.78257,GX
PGC 621,351.4747722,-78.1153453,10469619.72399,GX
PGC 2881,119.78013,-80.93438,11350241.94377,GX
M81-Gruppe,142.0918223605216,+40.9000561069047,11000000,GrG_LAN
M81,142.0918223605216,+40.9000561069047,12000000,GX
M82,141.409467,+40.566962,12000000,GX
NGC 2403,150.5689383352002,+29.1857144137247,10404388.44845,GX
NGC 4236,127.416904,+47.362047,14383496.25632,GX
IC 2574,140.2067281157555,+43.6073969774307,12752714.36785,GX
NGC 2366,146.4239929,+28.5330337,10893623.01499,GX
NGC 2976,143.914428,+40.902510,11839476.51031,GX
NGC 3077,141.8997151119418,+41.6599606367152,12393942.35239,GX
NGC 4605,125.3325075706892,+55.4657345730826,18101678.96204,GX
NGC 5204,113.500809,+58.005135,14970577.73617,GX
NGC 3738,144.554251,+59.315409,17286288.0178,GX
NGC 4144,143.174200,+69.007667,22472174.42315,GX
NGC 4068,138.900373,+63.043848,14318264.98079,GX
NGC 2537,173.813508,+32.957186,22504790.06092,GX
CVn-I-Gruppe,123.3629301340831,+76.0075390900619,15000000,GrG_LAN
M94,123.3629301340831,+76.0075390900619,16000000,GX
NGC 4144,143.174200,+69.007667,22048171.13214,GX
NGC 4190,160.615931,+77.589323,9230225.488752,GX
NGC 4214,160.254314,+78.074546,9588997.504216,GX
NGC 4244,154.567616,+77.157096,13731183.50094,GX
NGC 4395,162.0947693547792,+81.5328903047566,15329349.75164,GX
NGC 4449,136.853075,+72.400737,13926877.32755,GX
M83-Gruppe,314.58357765,+31.97269991,14000000,GrG_LAN
M83,314.58357765,+31.97269991,15000000,GX
NGC 5128,309.51590291596,+19.41727090758,11937323.42362,GX
NGC 4945,305.271546,+13.340163,12133017.25023,GX
NGC 5102,309.7315267930915,+25.8383280605687,11937323.42362,GX
NGC 5206,310.1844023556688,+14.1241685910261,10469619.72399,GX
NGC 5237,311.878143,+19.220634,10861007.37722,GX
NGC 5253,314.860346,+30.105958,11578551.40815,GX
NGC 5264,315.716112,+31.710042,15622890.49156,GX
Virgo Haufen,283.8,74.5,54000000,GrG_LAN
NGC4216,270.455782,+73.737944,49151766,GX
NGC4365,283.807002,+69.181873,74364000,GX
NGC4429,282.3796640512615,+73.0147501329173,53815802,GX
NGC4438,280.3479411026974,+74.8326954980645,54794271,GX
NGC4442,284.1766863742982,+71.8191933839585,50065004,GX
NGC4450,273.9114942332749,+78.6422177921835,50065004,GX
NGC4459,280.1080051849555,+75.8463597216799,51695786,GX
M98,265.4316190022678,+74.9599214084032,46000000,GX
M99,270.431020,+75.189835,45000000,GX
M100,271.1368029341339,+76.8989325058207,50000000,GX
M84,278.20446880,+74.47836102,60000000,GX
M85,267.711985,+79.237220,60000000,GX
M86,279.083509,+74.636861,50000000,GX
M49,286.921995,+70.196024,50000000,GX
M61,284.3709132172432,+66.2758459242981,50000000,GX
NGC4473,281.617044,+75.398700,48923457,GX
NGC4477,281.5443333248493,+75.6120535773970,64481116,GX
NGC4526,290.159518,+70.138523,48923457,GX
NGC4535,290.0720009592612,+70.6413730064143,52641639,GX
NGC4596,293.2992022778065,+72.8323756879186,53815802,GX
NGC4762,304.271165,+74.098657,73711341,GX
NGC4654,295.428230,+75.888801,47357906,GX
M87,283.77775499474,+74.49115452365,53000000,GX
M88,282.3285090311871,+76.5076990788288,40000000,GX
M91,285.6931148428629,+76.8296241643731,25000000,GX
M89,287.93245081450,+74.96680928241,50000000,GX
M90,288.4672049668234,+75.6228301778323,60000000,GX
M58,290.396923,+74.355376,70000000,GX
M59,294.3636718316298,+74.3620742551403,55000000,GX
M60,295.8729746,+74.3178264,55000000,GX
Leo I Gruppe,234.435360,+57.010408,33000000,GrG_LAN
M95,233.9516627652936,+56.3680174501082,33000000,GX
M96,234.435360,+57.010408,35000000,GX
M105,233.490135,+57.632801,37000000,GX
M65,241.3312479929118,+64.2216487401279,35000000,GX
M66,241.961075,+64.418634,36000000,GX
Dorado Gruppe,265.6312953225876,-43.6912255179016,50000000,GrG_LAN
NGC 1553,265.6312953225876,-43.6912255179016,50880394,GX
NGC 1556,257.9327873189549,-44.7848822411494,43052641,GX
Fornax Gruppe,236.716405,-53.635640,66000000,GrG_LAN
NGC 1399,236.716405,-53.635640,66862057,GX
NGC 1365,237.956525,-54.597788,57990603,GX
NGC 1316,240.162730,-56.689846,56946903,GX
Leo-II-Gruppe,230.5999,+66.4223,70000000,GrG_LAN
NGC 3607,230.5999,+66.4223,72406715,GX
Virgo-III-Gruppe,349.409164,+58.568113,50000000,GrG_LAN
NGC 5569,349.409164,+58.568113,55446584,GX
NGC 5713,351.023423,+52.123826,88062221,GX
Eridanus Galaxienhaufen,208.773099,-57.808978,70000000,GrG_LAN
NGC 1232,208.773099,-57.808978,71917481,GX
NGC 1300,208.1646991900807,-55.2226683124040,58708147,GX
Centaurus-Superhaufen,302,21,160000000,ClG_LAN
Hydra-Superhaufen,269,26,200000000,ClG_LAN
Norma-Superhaufen (Great Attractor),325.2555,-07.1281,210000000,ClG_LAN
COMA-SUPERHAUFEN,180,87.8,320000000,SCG
Coma-Haufen,57.196517,+87.893794,310000000,ClG
NGC4889,57.196517,+87.893794,306600000,GX
NGC4872,58.0834777147512,+88.0100601515266,300100000,GX
Leo-Haufen,233.7550179824337,+73.6437352450938,290000000,ClG
NGC3842,234.290468,+72.987840,296800000,GX
NGC3883,233.0736233311476,+73.8945450105541,316400000,GX
NGC3884,233.7550179824337,+73.6437352450938,329400000,GX
PERSEUS-SUPERHAUFEN,150,-13,240000000,SCG
NGC 1272,150.515878,-13.324998,176100000,GX
NGC 1275,150.5758176114528,-13.2612151046792,202200000,GX
NGC 1278,150.5624758785540,-13.2078080791166,264200000,GX
SHAPLEY-SUPERHAUFEN,306.4443,+29.7058,700000000,SCG
HERKULES-SUPERHAUFEN,29.9595,+48.7393,500000000,SCG
SCULPTOR-SUPERHAUFEN,359.9829,-84.8977,395000000,SCG
PERSEUS-PISCES-SUPERHAUFEN,142.5919,-17.3376,250000000,SCG
HOROLOGIUM-SUPERHAUFEN,261.6197,-54.7616,700000000,SCG
LEO-SUPERHAUFEN,203.25351,+67.69153,450000000,SCG
NGC3550,202.80792,+67.71992,489200000,GX
BOOTES-SUPERHAUFEN,16.9188,+73.8745,870000000,SCG
CORONA-BOREALIS-SUPERHAUFEN,48.09518,+57.14972,964000000,SCG
IC1101,6.473657,+50.545514,1000000000,GX